geo_type,region,transportation_type,alternative_name,sub-region,country,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020
county,Alameda County,driving,,California,United States,100,102.85,106.26,107.14,124.52,114,85.41,98.52,108.8,110.27,108.72,125.38,111.34,84.48,98.83,107.2,106.86,111.63,125.36,115.9,78.58,99.82,105.64,105.89,114.38,127.46,120.65,97.3,105.01,111.89,111.32,121.42,141.9,120.59,98.13,99.27,113.86,110.3,114.03,134.5,127.31,99.06,107.56,110.9,112.18,116.01,130.89,123.67,92.35,106.76,113.19,110.67,111.64,125.77,112.82,85.35,97.56,102.62,101.67,98.21,104.81,77.56,56.24,78.35,51.51,49.39,49.93,51.87,41.75,33.7,42.27,41.5,43.9,44.44,48.52,38.91,33.12,43.02,44.58,44.14,44.01,50.02,39.25,29.93,39.67,43.44,43.39,43.47,50.84,44.25,32.07,43.61,45.26,48.03,47.18,52.87,49.17,39.48,46.7,47.81,50.29,51.21,58.01,52.86,43.14,50.31,52.19,52.46,55.79,64.58,58.23,48.14,55.27,59.49,59.57,62.57,71.73,67.42,52.57,,,65.21,66.93,79.38,74.83,56.46,66.52,72.14,75.12,77.8,89.19,81.09,69.53,67.16,80.18,80.96,81.83,95.21,80.35,75.73,81.33,77,80.61,85.44,95.69,87.19,71.43,84.17,87.73,89.76,90.45,104.26,93.72,78.65,86.35,89.69,93.42,98.9,121,101.25,77.06,92.92,96.9,99.25,101.65,114.18,102.63,83.89,96.44,100.36,108.42,114.44,107.16,77.66,80.16,95.05,97.42,99.61,103.04,116.62,103.64,86.42,95.61,100.39,102.24,102.32,116.87,103.1,85.37,95.57
county,Amador County,driving,,California,United States,100,96.24,106.2,102.14,135.68,156.08,139.18,130.96,100.83,110.16,111.7,129.68,169.84,136.38,106.88,102.95,102.4,118.51,139.26,151.41,98.69,110.41,111.07,108.35,118.53,133.18,165.41,147.86,122.84,114.67,115.03,125.32,177.03,212.68,196.39,159.71,113.31,116.87,125.44,143.82,182.73,155.85,117.4,104.34,114.65,119.39,146.55,172.72,154.82,117.1,122.34,116.29,119.49,146.67,161.55,149.95,116.26,112.56,106.98,110.79,131.29,120.05,98.46,81.14,87.34,85.73,84.11,84.42,68.05,62.96,60.19,60.77,59.2,67.35,78.04,67.37,61.12,64.37,68.73,68.41,74.51,77.11,60.89,42.99,53.66,67.37,69.94,66.52,77.76,77.05,51.92,64.6,76.7,72.14,79.7,91.65,94.3,79.78,71.38,84.19,83.31,91.58,93.65,103.1,83.11,75.67,80.94,89.81,87.47,103.3,109.18,94.3,95.89,88.55,101.11,93.82,108.37,118.81,100.61,,,98.08,109.03,127.84,141.5,92.51,89.23,111.25,115.61,132.38,153.48,171.61,158.12,148.36,129.73,120.37,131.16,143.49,137.82,141.55,124.76,126.17,137.54,135.98,166.57,179.25,167.15,149.62,144.81,147.98,149.14,176.65,201.34,193.37,157.26,162.38,164.65,168.38,205.77,232.88,192.91,174.84,152.42,166.14,175.06,201.39,227.99,212.2,165.15,161.35,168.68,184.27,214.73,177.21,217.42,164.25,164.9,166.39,179,195.23,222.72,199.27,164.83,156.25,159.63,159.38,194.91,227.48,204.41,148.06
county,Butte County,driving,,California,United States,100,104.07,110.58,105.22,120.22,117.22,93.48,113.61,115.22,117.24,119.23,137.18,124.7,94.52,110.22,114.13,115.22,120.03,139.71,125.9,86,113.87,118.84,117.56,124.42,140.19,137.92,105.07,117.56,119.87,121.87,134.42,156.65,133.82,111.2,115.06,118.85,120.77,127.34,152.19,141.33,110.34,119.63,118.7,123.98,126.3,152.34,141.26,107.51,120.28,126.77,125.09,131.65,149.29,131.93,103.45,114.85,119.21,119.1,126.28,136.78,99.39,72.91,86.19,82.48,81.67,87.27,82.42,68.11,54.67,68.01,65.83,68.75,69.81,76.47,60.01,49.27,69.5,74.93,78.53,74.93,84.62,59.41,48.25,70.46,73.51,79.25,75.39,85.12,76.29,52.72,79.75,81.91,84.69,89.28,95.12,83.01,70.44,87.98,88.29,92.19,96,101.34,88.24,77.37,96.63,101.88,101.26,101.28,111.55,94.86,81.63,101.75,107.95,108.1,109.9,122.14,106.6,78.11,,,108.72,115.5,134.04,121.95,95.67,112.89,121.29,123.52,132.58,148.42,134.36,112.07,113.21,132.37,136.31,137.67,149.89,121.82,106.32,132.96,135.54,136.78,147.59,157.51,141.53,117.85,140.13,144.75,194.73,146.94,155.28,143.59,125.28,140.33,144.59,150.2,150.63,166.69,148.93,114.7,147.36,151.77,150.33,156.77,175.42,154.72,128.42,157.5,163.08,160.68,164.82,151.19,116.08,124.05,147.01,150.5,155.84,159.79,164.65,151.81,122.27,150.1,150.28,148.77,154.2,169.54,151.15,127.14,153.36
county,Calaveras County,driving,,California,United States,100,93.35,101.68,89.01,121.29,146.71,127.92,131.48,97.07,94.67,103.38,121.81,127.98,105.04,96.57,102.36,92.4,101.95,116.02,128.53,85.5,102.2,101.57,98.43,105.72,125.1,136.43,121.83,109.8,104.63,100.07,110.69,158.13,192.67,176.62,173.29,116.05,115.21,118.52,148.03,161.21,136.02,107.92,105.63,102.75,118.07,135.86,149.68,122.86,107.85,108.44,106.33,112.76,127.98,125.19,115.18,106.6,114.14,107.42,105.54,111.78,100.11,91.31,80,89.11,87.79,92.99,93.26,82.32,71.15,75.67,72.72,67.7,75.74,84.41,58.62,60.08,73.33,70.06,78.12,74.29,78.23,57.24,43.15,61.28,73.15,68.02,74.06,77.62,75.58,58.37,81.75,77.69,84.82,90.13,87.7,86.81,82.41,83.23,85.52,86.95,91.85,101,99.27,91.65,86.95,92.76,90.08,93.53,101.77,108.6,105.33,104.81,97.98,94.55,105.17,114.78,115.48,99.98,,,112.14,108.53,133.39,141.49,109.78,93.03,116.95,129.37,130.66,156.2,175.92,197.84,183.05,143.94,145.78,146.21,164.16,161.3,153.09,140.49,134.25,141.17,146.75,168.09,205.99,167.02,147.23,151.23,155.86,157.01,177.96,199.86,217.07,162.21,182.52,171.95,180.19,203.74,240.47,217.57,179.98,163.3,182.86,192.35,222.24,249.34,238.47,183.79,181.68,198.39,221.7,268.57,210.17,281.5,205.08,185.25,185.22,193.26,224.35,259.99,248.37,191.19,184.63,185.45,195.73,237.13,252.02,246.03,191.85
county,Colusa County,driving,,California,United States,100,95.78,105.51,110.63,140.67,138.89,112.32,128.54,98.64,96.21,99.84,141.67,127.56,118.15,93,104.36,105.78,103.6,125.59,123.6,91.8,103.76,107.25,108.72,115.56,138.78,141.26,115.67,105.04,100.9,102.78,119.24,172.42,143.5,126.14,147.23,111.42,111.53,112.1,148.9,141.86,132.35,106.87,100.14,109.27,111.26,150.64,136.74,138.73,109.16,119.46,107.66,118.56,150.64,139.28,122.43,113.27,109.19,100.49,116.95,144.67,126.25,111.77,106.7,109.57,98.45,105.15,101.36,83.13,69.01,73.32,69.61,71.35,78.11,79.72,69.58,61.65,73.29,75.91,71.16,69.09,83.67,63.59,51.62,60.04,64.57,71.63,80.43,80.89,74.93,56.96,75.63,76.4,76.07,76.94,90.6,93.49,77.08,87.68,82.75,80.51,94.69,106.32,89.53,87.22,83.78,84.41,91.33,94.99,122.84,111.64,94.09,95.64,89.7,99.62,103.24,123,114.39,98.17,,,104.09,110.96,133.28,133.28,112.29,103.65,111.53,117.2,150.83,200.68,175.99,157.29,181.9,132.46,126.98,136.03,158.79,154.65,159.09,140.56,129.74,133.96,152.77,175.63,160.37,171.87,144.15,140.88,143.8,168.38,195.37,194.49,195.91,163.4,153.48,159.36,183.29,221.37,207.55,181.33,177.57,173.78,170.29,180.35,223.63,209.38,208.04,174.98,170.67,202.32,255.96,251.21,149.9,276.34,213.46,181.28,176.72,192.5,234.7,219.08,217.88,190.95,169.66,168.52,188.53,239.11,211.8,222.95,187.54
county,Contra Costa County,driving,,California,United States,100,104.51,104.75,102.6,121.76,109.43,82.13,95.18,103.59,108.26,104.63,120.01,110.47,82.74,98.38,107.52,104.52,112.61,119.06,112.65,77.21,96.89,104.79,106.94,111.87,122.49,118.43,87.32,105.25,110.57,109.89,120.57,133.48,115.21,89.81,99.55,126.99,111.17,114,128.29,125.01,94.46,110.69,112.03,113.23,116.47,125.42,123.16,88.72,107.49,119.74,109.94,116.03,124.08,112.69,83.61,103.66,107.35,102.75,107.9,107.87,80.79,59.33,79.99,56.85,55.27,56.42,58.68,49.42,39.16,48.3,48.14,49.43,50.85,54.99,44.59,38.04,49.35,52.09,50.8,51.38,57.21,45.65,35.55,46.1,50.19,50.18,51.41,59.27,52.68,36.85,51.05,53.84,55.95,55.49,61.64,59.34,48.11,55.78,57.2,58.82,60.51,67.21,63.56,52.37,59.27,62.87,62.19,64.74,73.58,68.62,58.04,66.54,70.87,70.63,72.32,82.51,82.11,64.94,,,76.43,78.32,93.83,91.15,69.21,79.88,86.62,86.65,90.74,106.05,100.41,87.26,81.19,94.06,95.01,96.52,107.38,94.47,86.23,95.14,90.5,94.41,99.85,109.54,108.08,88.97,103.77,105.44,105.16,109.01,120.49,114.43,96.31,105.94,108.78,114.04,116.05,134.76,121.67,90.99,111.75,115.39,116.8,119.31,131.93,123.6,98.67,114.29,118.48,121.09,128.39,122.59,89.22,92.2,113.76,115.39,116.4,119.2,131.97,122.68,100.42,111.03,116.02,116.75,123.09,131.31,121.27,100.29,112.83
county,Del Norte County,driving,,California,United States,100,98.6,93.52,134.61,126.95,116.94,113.77,118.04,105.45,94.92,95.58,96.83,101.1,97.42,87.92,85.94,97.94,103.61,117.97,131.08,100.07,99.63,97.13,110.53,103.76,131.37,152.8,137.33,102.14,98.23,106.92,97.79,159.06,206.04,191.9,162.22,128.28,125.92,125.7,139.47,162.15,140.21,110.16,102.87,122.24,116.94,137.11,163.84,148.9,113.33,119.15,124.67,123.56,237.33,276.51,149.19,120.25,116.86,110.82,109.43,130.49,123.86,133.8,116.72,114.29,107.51,112.81,99.71,122.09,94.04,69.44,66.57,59.2,63.48,65.61,60.24,46.32,45.29,55.74,58.76,49.41,55.6,47.86,44.18,51.03,62,64.73,59.87,55.38,61.78,57.36,59.94,58.76,70.03,75.33,69,78.42,68.85,68.78,73.2,65.1,77.69,73.64,85.42,77.91,72.39,90.94,86.23,78.5,89.91,77.03,99.71,82.55,84.76,92.71,97.94,104.34,113.84,99.71,,,98.09,105.74,128.28,123.71,131.81,125.7,124.96,145.51,138.81,174.15,234.9,249.93,212.08,152.5,167.16,166.79,177.25,164.87,159.2,146.17,164.8,163.99,163.7,181.15,256.55,203.09,187.41,198.82,184.54,196.76,227.76,256.7,279.38,243.45,255.67,259.65,277.25,300.37,325.33,296.17,287.92,309.94,323.12,351.69,369.51,400.74,373.93,370.1,338.66,335.94,390.87,468.41,387.11,409.06,406.41,363.84,350.74,360.53,417.97,457.58,443.3,369.73,360.75,386.38,381.81,420.99,497.79,431,386.6
county,El Dorado County,driving,,California,United States,100,90.05,93.6,96.77,142.74,168.38,139.12,153.37,91.28,92.68,98.01,128.23,150.33,181.33,92.49,89.5,90.33,92.06,125.45,143.54,104.29,100.42,91.62,94.5,98.62,133.29,146.38,140.43,100.44,96.2,95.34,104.75,144.07,174.37,161.67,163.65,111.65,110.05,116.88,147.9,162.21,147.95,104.49,97.71,97.48,103.76,131.25,146.18,150.82,101.97,98.42,97.39,99.51,125.82,124.44,109.79,94.46,95.72,92.04,93.52,116.89,103.96,195.1,100.55,76.81,63.74,69.99,66.54,57.26,49.19,51.87,49.25,52.72,54.38,59.37,48.2,42.86,53.52,56.87,56.05,56.57,61.33,43.17,35.17,51.41,57.87,57.99,57.13,64.31,60.92,41.5,60.24,61.84,62.08,65.12,68.4,66.79,58.99,62.55,62.4,69.1,72.22,79.49,79.12,66.27,70.27,73.9,73.03,74.38,85.75,88.89,77.2,76.3,80.48,81.75,83.37,92.5,99.73,76.12,,,86.46,92.14,108.56,112.32,77.28,81.21,92.11,96.22,107.19,126.61,129.52,122.17,118.18,111.08,115.43,119.72,131.83,115.16,117.11,109.93,110.03,116.12,124.68,147.42,157.27,135.83,127.97,135.6,138.95,145.31,172.63,189.45,184.2,156.64,159.18,163.02,171.07,218,234.35,203.84,182.4,179.45,184.16,194.63,241.76,259.1,244.24,184.56,181.38,191.16,227.45,268.57,217.36,264.93,202.45,190.75,193.66,197.67,238.29,256.36,249.64,198.78,189.8,196.91,205.37,246.12,262.99,258.51,201.15
county,Fresno County,driving,,California,United States,100,97.82,104.81,103.41,121.7,110.31,84.16,100.12,103.1,101.92,105.84,122.03,114.22,83.88,99.17,98.06,99.39,103.49,125.73,119.63,81.29,98.83,101.41,103.53,109.98,128.12,122.03,92.27,107.26,107.83,109.96,119.88,146.53,120.29,96.12,107.07,105.02,108.91,116.33,137,129.28,100.39,108.61,108.19,111.38,116.44,139.01,133.35,101.07,109.43,113.34,110.23,117.91,136.75,130.68,95.33,105.42,106.95,108.85,108.48,121.71,103.07,74.12,85.61,86.29,84.63,71.17,77.45,60.03,48.62,62.53,62.76,62.27,65.75,73.8,59.32,49.33,65.69,67.03,68.67,68.76,77.62,64.74,45.6,63.25,66.67,65.42,66.75,77.86,65.79,41.74,68.41,73.05,78.04,78.45,86,73.36,62.34,75.91,78.11,78.49,81.48,90.31,79.35,65.3,81.87,84.48,85.76,89.44,100.61,90.3,75.41,89.65,93.04,91.02,96.21,111.08,99.68,81.54,,,101.94,104.43,119.86,107.74,89.79,102.17,108.79,110.86,116.83,133.32,119.34,97.39,99.36,117.06,119.6,121.09,133.58,120.91,100.88,117.47,117.08,122.39,126.06,141.95,129.49,106.04,125.12,126.17,128.7,133.18,150.55,136.64,114.08,131.51,131.9,133.64,139.56,156.94,144.89,107.3,136.1,134.86,142.47,142.49,160.02,145.35,121.47,136.52,140.55,143.71,154.27,152.1,103.77,114.73,138.53,137.01,140,143.81,158.66,141.47,117.58,137.28,135.96,138.04,141.2,154.95,137.63,117.85,138.92
county,Glenn County,driving,,California,United States,100,98.34,99.14,105.22,126.73,125.13,99.72,114.84,101.63,92.32,110.2,126.91,119.88,108.85,87.47,99.94,101.75,100.83,128.2,128.26,87.99,105.16,101.29,98.34,101.87,138.16,138.16,111.09,109.71,105.16,103.38,122.43,150.88,149.74,117.79,141.17,117.79,110.81,117.27,147.25,139.42,126.73,107.59,107.68,105.96,116.87,142.73,136.53,115.61,112.93,115.58,111.09,124.67,147.8,132.29,116.44,108.82,108.85,110.91,116.16,143.47,123.63,105.53,118.22,102.92,101.11,97.51,106.91,88.14,77.54,80.28,78,77.27,80.92,83.47,65.71,62.18,70.91,75.67,82.58,71.71,87.62,73.95,53.67,77.73,79.2,76.74,84.61,86.64,80.25,60.12,75.85,77.88,90.97,79.23,89.74,88.91,79.51,85.96,85.84,90.45,93.03,111.83,102.95,87.34,94.01,96.22,101.41,98,130.35,111.43,99.39,97.97,102.7,108.45,110.94,133.52,125.59,94.84,,,107.4,119.78,142.49,134.72,106.82,108.02,128.36,126.02,154.29,203.56,179.66,140,170.38,139.51,125.07,145.56,166.08,149.95,155.27,139.6,136.59,133.06,143.5,193.58,168.36,168.91,154.84,148.33,159.48,164.15,207.65,187.93,177.57,159.2,161.6,178.68,174.22,222.76,202.67,174.65,179.48,158.31,168.26,176.62,225.47,205.31,198.49,184.52,171.03,196.87,243.23,245.9,141.66,233.39,214.53,174.01,168.05,186.88,232.1,215.3,198,177.3,162.95,178.13,194.96,232.44,207.47,198.68,180.71
