geo_type,region,transportation_type,alternative_name,sub-region,country,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020
county,Adams County,driving,,Illinois,United States,100,114.82,105.34,114.55,85.81,95.46,79.48,105.3,97.98,97.23,94.8,117.95,128.56,83.87,100.32,101.24,104.35,106.51,117.46,124.99,80.2,97.11,101.09,87.27,102.45,120.77,127.59,89.58,105.81,114.45,90.16,101.46,154.34,131.89,91.21,115.42,106.27,108.33,114.94,132.01,131.26,87.3,113.12,94.34,106.46,117.15,142.41,148.55,102.67,109.01,120.74,120.96,117.73,133.98,140.27,101.41,114.02,119.48,121.62,114.06,118.61,105.56,76.78,93.49,94.34,82.27,77.05,83.99,62.79,44.6,64.93,67.72,70.32,73.6,77.75,68.64,52.22,78.58,81.1,82,81.81,87.59,69.3,58.51,81.73,81.59,82.39,92.11,89.7,75.61,57.78,99.27,98.01,89.24,80.3,94.85,88.2,71.97,92.06,100.29,104.4,101.43,104.37,88.66,81.59,98.13,103.47,103.35,116.57,124.8,112.48,88.78,113.14,110.52,119.41,121.86,146.1,122.32,88.54,,,122.86,126.21,144.45,119.89,102.33,139.88,141.44,134.3,155.67,154.99,124.17,107,110.44,154.65,143.82,149.79,175.27,144.06,122.56,146.81,151.76,142.87,171.63,173.01,163.81,124.68,153.83,153.66,160.55,180.01,185.18,172.16,130.12,163.88,170.51,172.94,168.13,195.68,181.25,121.98,168.5,171.82,166.99,182.37,213.38,191.01,145.69,175.25,165.17,188.97,199.98,182.17,138.35,128.93,171.24,166.5,184.58,181.95,207.41,192.64,125.58,164.44,163.32,151.08,177.51,202.11,180.64,135.34,157.4
county,Bond County,driving,,Illinois,United States,100,90.74,94.97,106.48,98.41,117.86,102.31,116.47,97.88,98.15,93.12,116.87,131.88,123.48,83.99,94.51,99.93,100.86,125.46,121.83,97.62,98.41,93.25,81.08,108.4,136.51,121.63,101.39,106.15,110.71,106.61,104.03,158.53,131.15,109.06,137.04,106.28,114.62,128.04,146.89,149.47,117.79,108.4,95.77,97.22,120.63,144.91,150.66,119.18,117.2,113.23,125.99,121.83,151.46,141.67,114.75,104.56,116.4,102.58,120.17,142.2,129.43,103.44,87.17,97.49,92.06,96.69,97.49,92.99,55.29,70.37,71.3,76.65,67.39,80.69,64.75,60.12,63.56,68.85,72.95,71.49,73.35,80.16,55.36,68.72,77.58,74.6,68.78,80.75,71.3,49.54,71.1,75.46,78.7,81.08,91.8,88.43,71.03,79.83,87.76,79.17,73.74,99.6,77.78,72.88,92.39,84.92,84.06,97.02,102.98,96.69,81.42,86.9,88.16,107.47,108.27,125.86,135.85,76.32,,,120.3,110.71,149.4,125.53,101.39,125,115.94,128.97,131.15,160.19,146.49,120.7,122.49,127.51,129.17,146.49,150.73,144.18,118.72,147.69,132.74,127.38,148.68,165.01,169.18,141.27,151.39,134.13,144.84,154.76,186.44,184.33,156.08,155.69,138.82,155.56,168.52,188.49,180.56,147.82,154.5,158.2,148.94,164.15,197.75,190.94,164.15,174.67,160.98,165.81,198.41,207.01,137.1,168.25,163.36,157.87,164.75,176.79,197.75,198.88,191.6,168.98,164.15,158.2,172.62,205.16,187.3,174.27,136.18
county,Boone County,driving,,Illinois,United States,100,102.7,102.26,104.73,129.06,123.4,108.12,108.71,92.11,99.49,97.4,131.5,121.08,97.38,95.5,96.54,98.56,108.44,124.96,147.29,92.72,100.1,96.45,103,102.68,124.18,127.62,103.06,98.35,104.66,102.28,109.03,147.6,142.1,121.8,109.37,104.11,100.93,108.25,143.01,148.43,116.8,102.32,98.65,100.61,123.46,139.31,144.73,118.82,104.96,110.53,107.03,108.44,148.98,152.88,115.85,108.29,107.74,112.05,107.15,138.38,117.92,92.74,95.13,97.57,85.5,85.25,93.94,70.59,50.24,64,67.67,71.64,71.03,79.26,67.76,52.37,74.57,70.37,71.74,78.35,87.44,73.35,61.3,71.11,75.59,75.29,76.51,91.37,82.28,53.66,85.36,77.38,83.48,89.56,98.29,99.47,85,91.94,96.24,97,90.63,106.03,94.01,91.64,89.03,98.59,84.96,98.67,120.91,110.11,94.87,99.68,93.75,106.46,119.08,132.92,134.71,86.81,,,119.01,110.02,146.59,138.02,103.14,121.23,126.72,135.28,147.69,172.46,137.45,135.28,125.87,143.64,134.86,129.23,179.07,164.53,139.5,131.17,152.37,147.2,156.85,187.44,186.22,146.74,157.23,143.64,150.26,174.53,199.16,199.62,159.57,163.96,162.06,169.64,173.47,208.15,187.68,162.36,155.71,181.6,186.24,191.26,198.52,227.01,179.21,169.45,180.92,197.21,211.06,228.36,190.95,187.02,185.27,183.6,179.6,196.81,248.05,214.69,189.77,179.55,181.62,164.91,192.53,241.51,223.78,182.7,178.41
county,Bureau County,driving,,Illinois,United States,100,98.01,99.06,110.93,105.1,85.92,85.67,99.82,99.24,99.89,88.35,110.97,109.92,89.03,95.48,104.45,93.01,100.83,120.01,116.87,84.73,98.01,101.45,94.57,94.68,115.49,126.02,94.86,101.88,103.04,92.25,103.91,129.5,134.09,126.57,108.07,104.13,101.27,112.88,126.28,144.3,114.95,96.24,89.58,88.85,116.32,135.11,142.31,119.62,110.5,125.99,108.94,117.08,160.12,147.16,118.42,100.25,109.05,108.47,106.37,135.98,115.74,102.68,97.97,93.09,87.04,93.09,104.63,93.01,58.67,69.74,72.57,82.45,75.5,81.14,79.12,64.21,79.66,69.31,77.49,90.41,85.56,76.55,62.72,78.18,92.65,84.4,87.37,95.84,79.59,55.92,72.67,83.82,89.36,88.2,92.4,103.11,88.85,99.86,131.99,102.57,102.46,103.69,99.17,84.94,102.68,99.67,96.09,108.9,123.96,116.83,97.07,107.78,101.95,109.52,126.28,143.79,150.31,101.74,,,135.07,121.97,157.65,138.76,118.13,131.89,140.35,149.29,154.43,162.61,158.45,145.24,120.92,144.59,154.94,158.7,186.79,173.65,154.14,149.22,153.24,146,163.63,196.38,183.53,164.31,152.48,156.79,173.18,180.78,200.69,202.71,172.64,172.24,173.69,183.35,200.07,243.39,209.05,171.48,166.3,172.39,192.47,214.62,226.78,212.52,196.27,182.63,184.65,199.82,216.43,230.87,187.77,204.52,203.84,204.09,192.15,195.08,234.71,212.27,189.32,185.56,177.38,179.7,191.93,225.12,225.19,193.77,201.34
county,Champaign County,driving,,Illinois,United States,100,99.55,103.94,108.18,118.41,125.92,135.47,155.35,154.78,150.31,135.65,167.79,159.54,116.31,127,126.81,130.86,144.03,162.27,154.74,115.66,121.14,124.36,118.63,131.24,169.08,155.92,121.34,126.08,139.88,126.85,137.92,181.43,168.86,139.68,143.63,126.48,134.45,161.33,190.87,194.31,135.92,130.71,128.47,126.41,143.89,176.98,186.68,156.82,134.92,135.26,139.19,158.93,221.13,234.59,169.21,135.3,133.53,139.42,151.39,165.81,104.72,78.63,80.22,83.54,77.26,78,95.49,80.7,47.9,60.61,61.78,65.98,65.49,72.39,62.89,54.2,66.4,65.16,71.39,69.87,80.69,66.92,58.34,70.85,73.25,74.23,70.9,84.56,73.42,46.99,71.47,75.18,78.91,82.26,89.05,88.34,71.2,84.12,86.78,89.18,80.86,102.03,84.96,77.41,90.56,90.08,85.62,93.76,116.02,102.49,82.89,97.09,92.96,99.07,103.49,117.84,114.67,79.87,,,113,111.94,136.78,128.29,100.42,121.6,120.32,124.93,131.47,148.78,130.69,106.49,105.86,127.22,125.15,129.59,148.83,138.04,115.91,129.17,126.29,125.48,135.7,155.32,144.68,119.35,133.75,131.32,139.81,147.15,165.67,148.69,130.18,146.32,146.51,147.96,154.51,177.29,152.34,119.25,141.18,150.66,150.69,167.19,183.56,162.18,139.8,156.87,159.46,169.51,186.57,172.26,123.03,135.78,158.39,154.16,160.16,168.39,189.32,166.95,142.79,166.43,164.79,161.02,173.28,191.28,171.55,136.19,165.21
county,Christian County,driving,,Illinois,United States,100,100.98,106.82,125.7,97.93,114.35,84.07,109.66,104.47,106.98,85.43,122.8,143.04,87.07,107.8,99.13,111.62,110.42,122.97,132.62,83.74,107.53,109.17,99.51,103.6,121.39,134.04,89.8,100.05,119.8,101.96,106.76,133.5,151.12,108.4,130.88,124.99,113.04,127.88,143.81,142.28,92.58,110.91,123.19,102.84,121.99,128.48,146.04,103.76,122.31,142.17,126.9,137.97,144.3,158.27,96.94,107.42,116.26,114.4,118.39,127.66,110.09,67.54,90.29,86.58,78.83,83.14,82.11,64.32,44.03,62.63,65.74,74.8,86.14,81.83,70.16,62.14,79.92,81.56,81.94,85.05,91.93,67.59,51.99,89.53,89.58,106,104.31,109,87.34,44.95,85,86.31,107.2,104.86,108.78,92.36,72.23,110.47,112.77,115.22,105.62,115.6,93.29,82.92,107.58,102.51,121.06,115.11,124.44,121.39,91.54,115.49,101.8,126.57,131.26,146.54,127.5,96.13,,,139.83,129.35,151.61,144.52,100.16,126.57,154.12,132.9,138.3,163.72,163.83,125.37,123.95,144.14,142.55,157.72,175.72,162.19,129.51,156.85,146.59,153.85,166.61,193.02,172.12,142.94,150.03,149.92,165.08,192.25,203.82,204.96,137.97,160.56,176.32,182.38,166.34,196.18,181.56,129.95,164.38,182.43,182.43,187.18,224.33,189.31,151.88,174.8,165.79,180.25,183.58,192.69,164.48,131.75,192.74,171.9,176.05,197.49,216.48,209.98,150.19,166.67,166.67,165.47,189.47,234.64,197.33,159.68,159.96
county,Clark County,driving,,Illinois,United States,100,104.94,105.07,113.03,123.11,105.07,102.3,112.84,99.54,96.84,94.6,111.26,110.6,109.61,96.91,102.17,93.94,109.15,122.98,126.93,104.87,92.82,97.96,93.42,106.25,107.7,109.74,102.5,100.79,104.48,89.53,114.81,143.98,117.77,112.84,132.06,105.07,116.33,119.29,148.32,133.84,169.52,102.57,107.5,98.62,113.63,149.05,135.62,123.57,104.54,128.31,115.73,124.56,165.64,144.5,136.47,116.46,115.27,124.09,115.54,137.85,136.08,114.35,104.02,113.82,151.94,98.82,109.68,100.92,74.33,87.56,73.54,87.36,78.21,78.34,71.69,69.65,73.14,65.9,69.12,75.64,88.94,73.73,57.87,73.01,78.41,78.34,82.42,84.53,71.36,49.24,67.28,83.74,86.9,86.64,93.48,91.71,75.58,93.42,106.98,90.26,75.12,91.71,86.11,75.97,87.49,91.9,86.97,105.99,115.47,120.54,94.14,109.35,92.69,100.07,109.28,125.28,122.65,114.42,,,125.81,113.89,133.57,139.63,111.19,113.69,131.67,126.53,161.95,200.53,177.22,155.56,148.26,144.77,131.93,150.3,179.99,192.5,165.83,144.77,150.43,158.39,147.33,185.98,217.45,160.7,144.77,142.53,161.16,175.51,208.56,206.65,176.3,155.56,167.22,183.15,180.32,205.4,224.16,155.69,173.6,150.1,170.51,185.45,222.98,207.44,193.61,178.47,175.58,200.07,232.13,229.36,167.94,216.26,190.06,173.34,176.96,202.57,224.82,228.44,215.73,177.35,162.21,176.43,196.12,224.36,216.66,205.99,160.96
county,Clinton County,driving,,Illinois,United States,100,107.62,105.12,100.69,91.31,117.41,95.53,104.43,91.55,89.96,91.03,105.23,115.33,87.64,88.13,90.17,94.95,93.63,115.68,112.88,80.37,93.22,86.26,88.06,98.79,120.91,117.06,99.86,92.7,98.55,106.51,103.81,135.69,124.13,95.26,111.21,110.66,107.68,120.66,127.1,127.52,96.12,94.88,103.95,94.84,112.53,127.66,135.13,103.46,111.01,103.57,122.08,112.84,128.63,149.43,105.12,99.69,111.98,104.02,99,121.7,104.29,72.72,82.1,79.34,73.21,74.94,91.93,63.72,45.93,65.97,63.83,70.37,71.3,70.51,61.3,55.56,67.84,70.89,74.11,77.5,83.97,60.54,53.41,72.45,87.33,89.03,84.25,96.99,71.48,43.51,78.92,78.4,76.77,76.01,85.64,83.35,63,88.06,85.91,90.48,79.65,96.99,70.96,71.79,87.78,96.02,90,96.61,114.16,121.88,81.1,90.97,96.5,104.4,108.93,121.77,111.46,76.36,,,107.96,119,137.52,116.75,90.45,120.35,128.63,126.69,141.47,152.58,132.92,129.25,123.02,129.01,120.63,134.61,160.75,150.57,132.33,143.61,139.67,140.26,149.01,178.71,181.07,138.7,140.91,131.22,144.27,164.87,179.89,188.99,162.31,157.98,166.98,157.98,172.65,214.61,194.84,142.64,153.72,151.06,164.49,186.99,202.53,198.41,154.66,163.07,137.07,152.41,184.42,204.36,173.07,158.36,158.43,198.51,159.02,165.49,205.88,209.28,176.64,160.92,162.13,152.47,171.13,190.83,200.87,159.54,143.37
county,Coles County,driving,,Illinois,United States,100,101.14,105.57,106.37,113.38,104.76,86.8,99.46,97.37,103.96,95.49,118.7,114.64,79.74,92.97,98.46,100.67,109.12,119.45,112.61,89.94,91.4,98.09,88.88,103.54,124.03,112.24,86.1,99.78,103.29,98.34,108.84,136.93,112.34,96.38,112.66,107.06,107.6,114.52,146.4,130,97.15,109.49,99.88,101.09,117.07,142.78,132.62,110.01,106.89,117.12,111.79,119.22,175.4,178.18,122.32,107.16,106.39,112.53,112.86,145.7,98.17,75.13,82.59,83.65,76.22,75.63,88.95,73.12,46.07,61.26,64.7,71.04,63.02,74.09,62.62,53.85,64.68,64.55,69.43,69.31,76.05,60.22,51.1,70.92,74.98,70.62,67.95,78.33,69.11,41.42,68.86,81.4,79.29,78.03,87.47,77.24,66.29,82.12,84.15,84.77,73.47,90.29,74.66,63.64,76.29,80.65,82.07,91.18,112.06,102.03,74.16,88.65,93.63,98.14,110.68,128.44,110.58,78.75,,,108.67,105.85,131.58,114.99,87.02,116.52,106.94,118.63,140.15,157.67,126.23,105.25,103.79,114.99,120.88,136.09,143.92,136.17,100.15,121.67,123.46,130.25,132.97,154.84,147.21,110.78,137.38,123.48,143.25,182.71,162.65,146.52,124.32,143.18,142.06,136.19,147.29,168.91,148.45,106.56,132.85,138.32,138.32,146.35,184.52,151.35,125.09,141.29,137.7,146.47,172.41,169.85,111.67,132.08,142.38,151.8,138.37,150.21,170.72,169.04,130.02,141.66,147.81,136.96,142.58,179.71,159.8,123.09,139.46
county,Cook County,driving,,Illinois,United States,100,102.63,103.3,108.32,132.37,113.95,88.09,98.63,100.75,99.74,104.16,122.26,118.67,85.35,93.47,96.35,97.94,103.75,124.58,122.9,88.02,94.83,96.35,102.6,103.69,117.44,125.31,90.12,98.48,105.8,108.17,115.91,152.95,146.76,116.59,111.23,104.05,105.34,111.37,133.64,139.73,102.32,99.43,100.25,103.24,114.64,140.44,145.36,108.44,105.59,108.61,110.6,116.5,137.92,146.84,110.07,105.91,109.22,106.88,105.25,120.18,107.55,76.03,79.27,73.22,63.99,62.51,69.05,51.86,34.81,45.25,48.44,51.69,48.75,54.92,48.77,39.35,48.9,49.56,51.34,52.56,60.19,51.69,42.33,49.72,54.3,51.81,53,60.88,56.94,39.45,51.52,52.85,58.46,59.61,62.71,66.38,52.8,63.28,60.03,59.74,62.54,70.17,64.38,56.77,60.88,63.25,61.79,67.49,81.02,86.32,63.97,66.32,67.1,72.45,76.01,84.39,88.79,63.53,,,78.97,73.68,95.5,91.25,64.8,82.16,83.6,88.78,90.51,105.2,92.81,85.36,76.97,90.18,91.73,93.13,113.49,115.81,90.28,92.41,97.14,95.96,106.26,120.74,128.4,94.97,108.98,103.5,108.49,119.14,134.23,128.28,101.03,111.79,117.79,119.57,127.4,151.12,130.33,101.87,109.02,122.63,125.07,133.49,135.61,146.83,116.5,120.28,132.11,139.11,149.35,151.11,121.66,109.78,126.82,129.43,133.1,135.96,155.78,150.13,119.25,129.31,133.27,130.26,141.47,164,154.64,113.7,128.51
