geo_type,region,transportation_type,alternative_name,sub-region,country,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020
county,Alamance County,driving,,North Carolina,United States,0.5144,0.5094,0.5325,0.5861,0.8309,0.7243,0.4553,0.5737,0.5547,0.5033,0.5793,0.7558,0.7897,0.3905,0.4479,0.4829,0.4887,0.54,0.6794,0.7407,0.4198,0.5021,0.5193,0.5467,0.4352,0.8245,0.8673,0.5492,0.5331,0.5368,0.547,0.6311,1.0132,0.9283,0.5776,0.6109,0.5947,0.6173,0.4721,0.7167,0.9075,0.5507,0.5332,0.6073,0.6687,0.7292,1.0201,1.1167,0.6736,0.6179,0.6687,0.6779,0.7885,1.1396,1.0915,0.6423,0.6803,0.6595,0.7133,0.7261,0.8396,0.7044,0.3476,0.4285,0.3567,0.3633,0.3901,0.4822,0.3638,0.1168,0.2006,0.2293,0.2331,0.2514,0.3324,0.2175,0.0983,0.2157,0.1448,0.1643,0.2371,0.3279,0.2519,0.1122,0.2275,0.2454,0.2773,0.3155,0.3673,0.2845,0,0.2576,0.3302,0.3581,0.4041,0.541,0.4128,0.2302,0.3363,0.3995,0.4278,0.3519,0.5911,0.444,0.2794,0.4292,0.4717,0.5021,0.4882,0.6416,0.5843,0.3687,0.5227,0.4627,0.5364,0.6461,0.7043,0.7755,0.4183,0.502566667,0.586833333,0.6711,0.7401,0.903,0.8449,0.5475,0.6786,0.6433,0.6799,0.7186,1.0185,0.9707,0.5845,0.618,0.8117,0.7379,0.8142,0.9351,1.0147,0.6478,0.784,0.777,0.8243,0.8425,1.074,1.0569,0.7227,0.836,0.9941,0.8179,0.8635,1.1504,1.1202,0.7421,0.7826,0.7116,0.7791,0.8925,1.0743,1.0802,0.7402,0.951,0.9079,0.951,1.0095,1.2335,1.2198,0.8159,0.9653,0.9701,1.0341,1.1149,1.1791,0.7782,0.8002,0.9971,0.9407,0.9669,1.0646,1.3297,1.3169,0.8323,0.9296,1.0038,1.0099,1.0529,1.2328,1.177,0.8414,0.9653
county,Alexander County,driving,,North Carolina,United States,0.5128,0.4697,0.5143,0.5356,0.7043,0.6514,0.3223,0.5744,0.6001,0.4731,0.522,0.5201,0.665,0.4294,0.4159,0.4764,0.4915,0.5705,0.5608,0.6112,0.2787,0.5041,0.6102,0.49,0.4115,0.7009,0.601,0.3824,0.5579,0.521,0.5249,0.5559,0.7809,0.7896,0.4197,0.7033,0.5899,0.601,0.3926,0.6141,0.7479,0.3906,0.5113,0.5874,0.5894,0.7193,0.7915,0.8308,0.5341,0.649,0.6408,0.6296,0.6955,0.8322,1.0504,0.4794,0.7004,0.7353,0.666,0.6922,0.8444,0.713,0.3233,0.5307,0.5075,0.4779,0.5521,0.6645,0.5055,0.2157,0.3082,0.3892,0.4377,0.4076,0.7009,0.5094,0.2855,0.4008,0.2666,0.3441,0.3368,0.4406,0.3184,0.2341,0.4241,0.4202,0.4304,0.5642,0.5259,0.3853,0,0.5506,0.4716,0.5734,0.5884,0.8245,0.6534,0.3029,0.5603,0.5831,0.6999,0.443,0.7741,0.6073,0.3897,0.65,0.7605,0.6107,0.7149,0.9907,0.87,0.7304,0.8332,0.586,0.7246,0.8943,0.9796,0.9849,0.6049,0.688933333,0.772966667,0.857,0.9384,1.0615,1.2569,0.7304,0.8909,0.7334,0.8347,0.9403,1.2128,1.0576,0.729,0.7445,0.9432,0.8424,0.9636,1.1003,1.2607,0.918,1.0664,1.1274,0.9985,1.047,1.284,1.2908,0.9176,1.0988,1.0804,1.0605,1.2166,1.3921,1.2695,0.9083,0.9864,0.9607,0.9626,1.0329,1.236,1.3179,0.9112,1.2108,1.1643,1.1575,1.2709,1.4629,1.2263,0.9108,1.1614,1.0169,1.2108,1.2365,1.3204,1.1909,0.9171,1.2535,1.0702,1.2195,1.3223,1.395,1.3087,0.9898,1.1493,1.2258,1.2787,1.2913,1.378,1.4648,1.0271,1.127
county,Anson County,driving,,North Carolina,United States,0.2615,0.4079,0.4002,0.3813,1.1287,0.7166,0.4156,0.6895,0.4598,0.4274,0.5484,0.6511,0.5561,0.3926,0.376,0.4593,0.3666,0.5018,0.9156,0.7833,0.4557,0.4451,0.4097,0.3199,0.3495,0.9392,0.7072,0.5915,0.5555,0.4888,0.4433,0.6145,1.1051,0.7898,0.8441,0.7491,0.4988,0.4534,0.5319,0.8548,0.9345,0.575,0.5478,0.4345,0.6222,0.7591,1.2916,1.0413,0.8872,0.706,0.464,0.5632,0.8813,1.3453,1.1836,1.0313,0.8087,0.7633,0.8371,0.7987,1.1074,0.8707,0.7219,0.5413,0.4368,0.523,0.5472,0.7326,0.497,0.33,0.3973,0.2391,0.2686,0.2332,0.3707,0.3117,0.1275,0.2668,0.1358,0.1529,0.1859,0.3683,0.147,0.059,0.1334,0.1895,0.1859,0.3247,0.3329,0.399,0,0.3666,0.2568,0.3908,0.4244,0.6127,0.5596,0.1842,0.4297,0.5047,0.5106,0.4321,0.6369,0.5401,0.5024,0.5242,0.6263,0.4964,0.6712,1.0183,0.9923,0.9793,0.6665,0.6216,0.6977,0.9085,1.1293,1.1375,1.3253,1.170833333,1.016366667,0.8619,1.144,1.6493,1.5307,1.843,1.0283,0.6676,0.7851,1.4941,2.2863,1.7981,1.2763,2.6257,1.1381,0.8678,1.098,1.4445,1.3406,1.4079,1.0478,1.0643,0.9846,1.3802,1.9404,2.0018,1.8725,1.1954,1.0425,1.2302,1.3577,2.1635,2.2892,1.817,1.0614,0.915,1.1564,1.3447,2.0726,2.6068,1.9492,1.3194,1.0767,1.1659,1.428,1.9982,2.7444,1.8005,1.3028,1.147,1.281,1.7845,2.0643,1.9563,2.8937,1.4976,1.0012,1.2479,1.2308,1.8743,2.5549,1.8235,1.255,1.1995,1.3701,1.6281,2.3016,2.8388,2.0183,1.16
county,Ashe County,driving,,North Carolina,United States,0.403,0.3944,0.7004,0.4827,0.7191,0.9971,0.6925,0.6271,0.403,0.4087,0.431,0.5833,0.7773,0.3987,0.2816,0.3484,0.2766,0.4562,0.4763,0.7938,0.3958,0.3728,0.3154,0.3082,0.3944,0.4906,0.6279,0.4806,0.4353,0.4554,0.3261,0.5366,0.9461,1.301,0.8319,0.6365,0.3951,0.3872,0.2579,0.5984,0.8427,0.4756,0.3592,0.4914,0.4669,0.4935,0.7371,0.6681,0.5345,0.4238,0.4583,0.5,0.6099,0.6429,0.8642,0.6753,0.5661,0.574,0.6307,0.4856,0.5977,0.8269,0.3103,0.2349,0.2119,0.2766,0.4993,0.4181,0.4432,0.2105,0.1235,0.1128,0.0675,0.1932,0.3175,0.5029,0.1652,0.0991,0.0287,0.0266,0.1041,0.1537,0.2924,0.0064,0.2485,0.0927,0.1983,0.3621,0.3858,0.311,0,0.2133,0.3276,0.3075,0.4281,0.4842,0.5316,0.3075,0.3017,0.3233,0.3721,0.1875,0.4231,0.3261,0.245,0.4253,0.5266,0.3125,0.3549,0.579,0.8319,0.7342,0.6164,0.385,0.6616,0.722,0.6925,0.7981,0.6444,0.642966667,0.641533333,0.6401,0.8225,1.0589,1.4698,1.2083,0.9001,0.7414,0.6487,0.7105,1.1868,2.0043,1.5553,1.3204,0.9181,0.9059,1.0804,1.2744,1.6767,1.1717,0.9942,1.1235,1.1853,1.2701,1.6343,2.0941,1.7636,1.472,1.3247,1.1235,1.5029,2.0179,2.5093,1.4325,1.3922,1.3577,1.3448,1.3929,1.9166,2.2026,1.5876,1.6257,1.4439,1.528,1.6688,2.3879,2.8261,1.8577,1.6911,1.9159,1.7572,2.3398,3.3132,3.2177,2.5258,2.0682,2.0697,1.9174,1.977,2.4827,2.9346,2.1235,1.7902,2.0021,1.9059,2.0496,2.4863,3.3944,2.5891,2.0991
county,Avery County,driving,,North Carolina,United States,0.6843,0.6584,0.6315,0.9038,2.2228,3.0336,3.0435,2.3059,0.7762,0.9252,1.082,1.6656,2.802,1.895,0.8383,0.7129,0.7228,0.9472,1.9769,3.3163,1.945,0.9318,0.736,0.7206,0.901,1.7377,2.6419,2.1216,0.8609,0.7668,0.7421,1.0671,2.7184,4.2102,3.2707,1.9291,0.9769,1.0044,1.0957,2.4197,3.467,2.2998,0.912,0.8526,0.824,0.8515,1.7179,2.4263,1.8922,0.8515,0.6694,0.813,0.8939,1.3383,2.099,1.7184,1.0754,0.8504,0.8658,0.8922,1.088,1.3493,1.0286,0.9241,0.6705,0.5226,0.5572,0.4962,0.6639,0.329,0.2091,0.1981,0.2096,0.302,0.4307,0.472,0.1997,0.1705,0.0341,0.0781,0.1331,0.2179,0.2646,0.1293,0.2003,0.1942,0.1106,0.2184,0.2085,0.3361,0,0.1882,0.1678,0.3108,0.3361,0.4951,0.4434,0.3152,0.3075,0.3334,0.3389,0.2448,0.3653,0.3383,0.3719,0.3884,0.3834,0.3268,0.4461,0.4879,0.8059,0.8389,0.5534,0.3845,0.4291,0.6645,0.555,0.9181,0.8152,0.740033333,0.664866667,0.5897,0.9351,1.2877,1.697,1.1997,0.8356,0.7503,0.7129,0.8653,1.456,2.4379,1.8636,1.6364,1.1386,1.0215,1.1265,1.3658,2.0061,1.7927,1.3576,1.335,1.4131,1.2943,1.6304,2.544,2.4236,1.8438,1.6293,1.4775,1.9489,2.6441,3.2041,2.1942,1.6513,1.538,1.6177,1.8427,2.3218,3.093,2.6722,2.208,2.0226,2.4846,2.4665,3.0429,3.4494,2.6348,2.3587,2.3609,2.5523,3.2025,3.7971,3.8202,3.6915,3.0688,2.4813,2.6551,2.8279,3.2437,3.8686,3.3455,2.9401,2.9197,3.0501,3.0369,3.483,3.9885,3.483,2.791
county,Beaufort County,driving,,North Carolina,United States,0.429,0.4888,0.4895,0.5329,0.8179,0.7286,0.3641,0.5499,0.6569,0.6168,0.5465,0.8206,0.7432,0.2836,0.4674,0.4473,0.4806,0.4806,0.6369,0.6155,0.2653,0.409,0.4667,0.3753,0.3845,0.573,0.6321,0.374,0.5075,0.463,0.5268,0.5061,0.8234,0.6685,0.3831,0.5931,0.5547,0.4643,0.2996,0.3016,0.5425,0.2965,0.4813,0.4657,0.5757,0.6386,0.7972,0.6848,0.412,0.6644,0.5112,0.5791,0.5853,0.8071,0.8543,0.4789,0.6545,0.6729,0.6729,0.6345,0.7626,0.8091,0.2588,0.4005,0.3797,0.3315,0.4137,0.5241,0.25,0,0.1542,0.2697,0.2415,0.2799,0.4528,0.355,0.1542,0.2894,0.1474,0.2143,0.2551,0.2826,0.2452,0.0842,0.2843,0.2571,0.378,0.3862,0.3634,0.3349,0.0601,0.1131,0.4052,0.2738,0.4039,0.5353,0.395,0.2106,0.2561,0.4056,0.5041,0.4276,0.5554,0.5115,0.3777,0.5503,0.5088,0.6107,0.4324,0.8356,0.6814,0.6056,0.6583,0.5982,0.6396,0.6447,0.928,0.9107,0.4827,0.562733333,0.642766667,0.7228,0.8407,1.1654,1.2157,0.7405,0.7551,0.6661,0.7381,0.678,1.1783,1.1545,1.035,1.0309,1.0316,0.8448,0.9158,1.072,1.037,0.8332,0.7541,0.9565,1.0143,1.0672,1.214,1.1889,0.949,0.9596,1.017,1.0486,0.9606,1.0672,1.3512,0.8125,0.8862,0.8699,0.9528,1.1039,1.2086,1.3621,0.9681,1.0832,1.0632,1.1851,1.1359,1.4127,1.6902,1.1515,1.1046,1.233,1.2605,1.374,1.6413,1.5873,1.251,1.2398,1.1012,1.0543,1.2422,1.5571,1.5024,1.198,1.0737,1.1817,1.1321,1.2833,1.554,1.4259,1.0649,1.2755
county,Bladen County,driving,,North Carolina,United States,0.354,0.3757,0.3438,0.4644,0.7283,0.4497,0.2791,0.5056,0.4515,0.4538,0.5245,0.7186,0.5656,0.2597,0.427,0.4298,0.3609,0.5037,0.5693,0.427,0.1876,0.445,0.4506,0.3961,0.3558,0.726,0.5481,0.2856,0.4741,0.5365,0.5735,0.579,0.854,0.604,0.25,0.6022,0.6271,0.3942,0.3092,0.4931,0.579,0.4025,0.5019,0.4681,0.4829,0.6539,0.8988,0.7158,0.4048,0.6132,0.6645,0.6086,0.5324,0.8762,0.9644,0.6132,0.5421,0.604,0.531,0.616,0.8258,0.6631,0.3055,0.5236,0.4173,0.4349,0.4159,0.518,0.3702,0.0333,0.2657,0.2888,0.3346,0.3817,0.5388,0.3887,0.1539,0.2445,0.2334,0.2232,0.2223,0.4145,0.1789,0,0.2551,0.2519,0.3803,0.4229,0.3831,0.2149,0.0213,0.1826,0.5421,0.3475,0.4062,0.5375,0.5051,0.1012,0.3106,0.5033,0.4584,0.3494,0.7306,0.5042,0.2265,0.512,0.4871,0.519,0.3346,0.7537,0.665,0.4963,0.5407,0.464,0.5338,0.6183,0.829,0.8563,0.5924,0.6591,0.7258,0.7925,0.8466,1.1206,1.2288,0.8614,0.8859,0.7583,0.7625,0.6779,1.4802,1.3346,1.1941,1.0998,0.9973,0.7967,0.8729,0.9922,0.9252,0.7431,0.8637,0.879,1.0606,1.0786,1.506,1.6414,1.2884,1.1123,1.0781,1.1285,1.1807,1.5088,1.5777,1.0689,0.9353,0.7315,1.0222,1.1253,1.5333,1.7574,1.3166,1.3466,1.2343,1.2232,1.1437,1.6863,1.7075,1.3064,1.1932,1.1035,1.3064,1.5259,1.9293,1.6151,1.4534,1.2607,1.092,1.1793,1.1664,1.5379,1.9589,1.3249,1.0596,1.4215,1.3226,1.2135,1.6895,2.165,1.2921,1.2278
county,Brunswick County,driving,,North Carolina,United States,0.507,0.5514,0.5364,0.6035,0.7991,0.7629,0.4473,0.6316,0.5625,0.5309,0.6016,0.689,0.5929,0.3383,0.4668,0.5676,0.5507,0.5683,0.6784,0.5359,0.2906,0.5188,0.5475,0.5766,0.5385,0.68,0.5686,0.4147,0.5857,0.596,0.6481,0.6791,0.9897,0.8998,0.551,0.7259,0.635,0.5861,0.5511,0.7368,0.7423,0.4435,0.6124,0.5977,0.6846,0.7873,0.9379,0.8725,0.5474,0.6918,0.7184,0.6829,0.6652,1.0112,1.0018,0.6621,0.8702,0.8925,0.8974,0.9028,1.0733,0.8119,0.446,0.6069,0.511,0.5933,0.6114,0.6727,0.4012,0.1511,0.3086,0.2596,0.3087,0.3667,0.475,0.2793,0.1352,0.3396,0.2793,0.2458,0.2892,0.3332,0.1527,0.0283,0.2712,0.2994,0.3295,0.3806,0.4004,0.2435,0,0.21,0.4305,0.3655,0.4736,0.5527,0.3382,0.1818,0.3647,0.5362,0.5001,0.4584,0.6202,0.497,0.3234,0.5682,0.5926,0.6495,0.4942,0.8923,0.7925,0.6817,0.8112,0.7202,0.7959,0.9198,1.0608,0.9619,0.6752,0.810833333,0.946466667,1.0821,1.2451,1.5599,1.5869,1.1762,1.1357,1.0688,1.1607,1.3051,1.9877,1.9832,1.8145,1.7666,1.5957,1.2727,1.4767,1.5972,1.7875,1.4564,1.604,1.5781,1.6471,1.7714,2.0336,2.4174,1.7052,1.7704,1.7055,1.8041,1.8864,2.1712,2.6334,1.7965,1.6923,1.7428,1.8,1.9496,2.2923,2.9393,1.8513,2.0235,2.0324,2.0634,2.23,2.4565,3.0967,1.9993,2.0071,1.9573,2.1299,2.5443,2.6859,2.829,2.2984,2.1224,1.9617,1.8735,1.9436,2.376,3.0205,1.9001,1.9224,1.9054,2.0571,2.1521,2.4239,3.1998,2.0107,1.9732
county,Buncombe County,driving,,North Carolina,United States,0.6978,0.7347,0.7607,0.8025,1.168,1.2099,0.9789,0.8878,0.7179,0.7627,0.7848,0.961,1.0925,0.7274,0.6864,0.7565,0.7043,0.8071,1.0174,1.18,0.7642,0.7342,0.7281,0.7203,0.7245,1.0132,0.9554,0.8283,0.7178,0.7734,0.7962,0.897,1.4372,1.6098,1.146,1.0232,0.8312,0.8397,0.5882,1.1178,1.3469,0.9645,0.7848,0.8385,0.8,0.8881,1.232,1.2538,0.9826,0.8727,0.9071,0.8879,0.9786,1.2384,1.382,1.1208,1.0661,1.0136,1.0089,0.9681,1.133,1.0286,0.6941,0.666,0.5242,0.4369,0.4512,0.4286,0.3643,0.1613,0.2188,0.2246,0.2803,0.3041,0.2534,0.2048,0.1031,0.1999,0.1529,0.1851,0.2172,0.2667,0.1844,0.0919,0.2262,0.2325,0.2444,0.2643,0.2678,0.2375,0,0.2615,0.2899,0.3095,0.3441,0.3851,0.3046,0.1776,0.3134,0.3614,0.3641,0.3152,0.4381,0.3077,0.2371,0.3698,0.3974,0.3798,0.4329,0.5356,0.4325,0.3597,0.4558,0.4587,0.4703,0.514,0.5634,0.5817,0.395,0.468266667,0.541533333,0.6148,0.7072,0.808,0.745,0.6064,0.6094,0.6239,0.6124,0.7427,0.9011,1.0009,0.7896,0.7576,0.8143,0.8215,0.907,1.0563,1.0862,0.8769,1.1042,0.8968,1.0052,0.9816,1.1545,1.2402,0.9808,1.0489,1.0277,1.023,1.2051,1.4537,1.5075,1.1477,1.1023,1.0966,1.1058,1.2333,1.4709,1.5407,1.1335,1.236,1.2469,1.2978,1.4155,1.6611,1.7039,1.3304,1.3153,1.3078,1.3911,1.613,1.766,1.4031,1.3447,1.4088,1.3711,1.3899,1.4856,1.7343,1.7176,1.3439,1.3916,1.3502,1.4216,1.5169,1.7884,1.8508,1.4535,1.4347
county,Burke County,driving,,North Carolina,United States,0.5673,0.4803,0.5583,0.6007,1.0354,0.7082,0.5173,0.7545,0.62,0.5794,0.6734,0.9539,0.9109,0.5979,0.5011,0.586,0.5178,0.6356,0.7582,0.818,0.5605,0.684,0.7379,0.791,0.5527,0.9789,0.7268,0.6102,0.5823,0.6311,0.5794,0.7344,1.2123,1.0868,0.6871,0.8251,0.6554,0.6413,0.512,0.9624,1.1185,0.6873,0.6469,0.7352,0.6934,0.8238,1.1674,1.1393,0.8254,0.6824,0.7551,0.7336,0.8159,1.1521,1.271,0.9038,0.8082,0.768,0.878,0.7443,0.9453,0.9395,0.5671,0.562,0.4956,0.4993,0.6027,0.6488,0.6525,0.2587,0.2777,0.3095,0.3686,0.4633,0.5245,0.4681,0.2771,0.3079,0.1817,0.2401,0.3351,0.4309,0.37,0.1991,0.3604,0.3351,0.3668,0.4409,0.4343,0.4372,0,0.4207,0.4824,0.4985,0.5958,0.6953,0.5795,0.2936,0.4789,0.5117,0.7049,0.3944,0.7255,0.4629,0.443,0.6015,0.5903,0.5376,0.5887,0.8902,0.7968,0.6721,0.6908,0.5769,0.7402,0.8133,0.8378,0.9539,0.6292,0.694333333,0.759466667,0.8246,0.9561,1.1894,1.2886,1.0117,0.8305,0.7188,0.7699,0.8518,1.3301,1.5618,1.151,1.1037,1.151,0.9735,1.178,1.348,1.4943,1.3739,1.138,0.9978,0.9931,1.0531,1.3851,1.6622,1.3121,1.1092,0.9968,1.0703,1.2571,1.6155,1.8034,1.2386,1.0934,0.96,1.0788,1.1907,1.4568,1.7102,1.2544,1.3349,1.2388,1.2523,1.3658,1.6906,1.7606,1.3245,1.2005,1.2902,1.3001,1.5925,1.931,1.6263,1.497,1.4256,1.3025,1.2795,1.4691,1.8054,1.9138,1.4663,1.2129,1.3341,1.3465,1.3821,1.7451,1.853,1.4202,1.2909
