geo_type,region,transportation_type,alternative_name,sub-region,country,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020
county,Anderson County,driving,,Texas,United States,100,113.99,109.88,117.23,151.22,154.66,116.83,115.89,119.17,101.8,119.6,141.07,138.63,100.78,112.54,106.63,109.23,117.74,152.83,141.5,108.97,120.3,118.66,104.32,117.99,149.53,149.93,115.06,109.48,107.17,105.91,124.75,153.21,162.07,121.72,127.17,123.92,115.87,135.11,171.57,172.67,125.88,134.77,139.52,135.03,140.91,175.33,167.49,127.49,127.76,128.24,120.72,147.52,185.64,197.15,130.01,136.32,141.91,141.37,160.35,169.96,159.19,118.58,126.28,106.39,113.07,106.28,111.01,94.52,78.63,87.14,98.39,97.8,94.47,116.46,85.42,71.79,80.32,85.64,92.86,92.86,88.21,75.3,64.91,87.89,84.83,93.69,92.48,100,82.15,68.78,101.64,95.57,109.74,102.47,119.44,94.68,73.21,106.52,114.15,103.81,118.01,132.86,121.4,103.38,121.53,109.72,133.29,140.56,162.01,152.19,109.5,133.02,126.5,136.05,146.68,149.74,153.18,116.94,,,153.53,153.02,162.36,125.74,121.15,154.31,157.48,162.15,160.3,212.16,185.13,144.38,137.91,158.77,156.81,175.87,195.06,193.13,147.89,146.23,155.22,162.66,173.88,217.05,200.03,157.18,165.85,167.49,165.56,180.54,218.15,193.02,168.05,174.52,158.6,190.26,180.32,215.52,207.68,148.99,174.12,167.28,171.14,182.66,208.83,184.32,153.99,170.34,164.56,173.37,196.81,211.52,174.95,168.3,158.34,142.52,161.15,180.99,199.68,201.34,152.13,165.91,180.64,176.97,191.33,213.74,195.92,159.65,162.85
county,Andrews County,driving,,Texas,United States,100,90.29,97.36,96.22,100.63,87.71,53.57,96.08,110.57,102.04,88.9,96.52,78.14,59.87,94.53,94.88,114.35,101.6,98.47,79.3,52.5,90.26,94.37,39.5,77.38,102.02,78.16,61.91,101.18,100.67,110.13,111.4,112.26,78.33,61.22,94.85,109.13,113.24,105.35,132.04,85.79,69.1,110.15,123.23,115.86,116.06,131.57,87.32,62.77,97.94,113.65,96.45,108.6,122.74,83.66,67.66,100.6,131.59,121.46,110.04,111.66,85.84,55.56,84.47,96.96,89.43,85.23,83.1,57.65,41.54,72.76,85.07,88.85,77.45,75.08,45.69,42.77,70.45,69.98,64.49,62.26,70.56,43.76,39.45,62.89,68.29,76.52,72.39,53.71,40.98,31.83,66.32,73.99,72.51,67.5,66.3,47.66,34.28,69.05,64.16,74.73,73.88,67.9,46.82,46.78,67.71,69.17,75.24,69.4,80.85,55.68,43.18,66.25,68.96,68.75,74.41,71.81,61.38,42.17,,,82.75,78,86.44,74.94,53.71,83.45,85.05,94.3,96.06,101.07,80.13,58.79,58.14,94.44,89.43,89.8,91.66,77.05,57.26,80.06,89.52,94.46,97.29,111.38,77.45,62.45,88.18,96.8,108.25,96.73,100.79,79.53,60.43,85.72,90.36,91.75,95.76,101.97,80.99,61.73,95.39,98.15,103.71,97.17,100.44,82.34,64.44,93.63,96.24,96.15,92.26,74.66,55.26,54.78,84.84,93.74,94.39,92.1,98.93,69.29,60.06,88.46,102.13,95.5,86.25,107.14,76.36,57.14,84.89
county,Angelina County,driving,,Texas,United States,100,97.89,98.63,106.86,133.41,116.91,85.23,108.98,107.64,95.22,103.4,130.19,115.42,79.14,103.63,96.67,97.01,103.57,126.14,119.08,82.73,98.87,99.62,92.18,105.64,127.58,119.01,86.49,102.19,102.91,106.94,118.42,150.12,125.53,93.25,117.07,106.36,102.48,118.33,146.62,140.57,91.58,109.96,114.29,113.43,123.16,160.24,142.06,103.82,111.34,121.78,108.15,124.85,159.96,147.36,108.71,121.03,130.86,130.15,130.92,148.5,127.87,94.47,102.1,96,93.11,89.15,90.59,74.19,53.62,71.68,75.37,78.59,80.76,85,64.14,53.94,65.59,68.41,69.95,67.43,71.92,51.73,44.9,66.24,69.64,72.52,71.59,78.6,59.88,43.57,78.1,77.77,85.25,87.25,87.27,76.46,56.35,86.11,86.8,79.3,94.11,107.65,90.34,75.25,96.44,95.71,94.36,105.67,119.54,101.59,85.73,105.36,99.14,110.03,116.65,129.57,119.06,90.04,,,120.23,127.73,139.62,114.9,97.83,122.6,133.94,132.41,151.06,176.86,150.99,109.03,115.11,136.63,136.42,138.2,170.74,147.44,118.05,134.67,138.88,147.21,155.13,173,155.81,124.63,142.7,144.42,146.75,153.36,173.09,158.39,128.53,150.27,147.22,147.02,162.18,186.73,157.71,113.54,142.25,138.88,145.09,148.61,176.96,151.64,118.75,143.79,142.42,157.19,162.9,167.34,128.6,123.87,140.26,136.7,141.95,149.6,170.25,164.39,120.79,135.5,145.6,145.7,145.93,179.81,157.92,121.39,135.21
county,Aransas County,driving,,Texas,United States,100,102.97,103.57,108.44,127.49,144.68,115.93,118.86,101.41,97.26,116.05,140.27,130.87,101.29,103.31,102.89,96.31,106.73,129.62,149.09,101.9,113.04,111.48,109.81,117.45,151.79,159.13,109.62,114.3,115.36,112.89,121.75,172.36,175.44,144.79,132.17,125.74,126.5,114.9,159.01,169.13,124.14,120.95,114.87,118.94,125.44,167.3,176.12,126.05,114.3,132.02,119.47,146.5,215.78,277.72,215.7,184.37,200.46,205.13,218.67,252.7,253.54,183.88,155.25,142.78,137.76,129.09,135.29,96.81,84.03,81.79,85.36,80.72,86.81,92.09,74.83,60.08,76.05,80.08,76.46,67.26,75.51,52.02,48.59,69.62,71.56,75.48,70.65,77.49,61.79,52.51,83.61,82.55,91.14,90.76,99.05,77.76,67.79,91.52,86.39,91.14,101.44,115.78,123.54,102.36,94.71,102.93,100.72,120.53,169.09,208.52,163.35,128.67,125.02,145.7,156.46,205.02,217.11,163.19,,,150.72,182.55,211.94,216.96,213.31,169.85,177.22,171.14,194.22,334.71,448.48,368.14,272.4,180.23,182.21,204.6,281.1,339.28,240.8,174.52,189.66,196.62,240.46,323.23,374.68,317.49,223.23,210.38,239.58,265.13,356.88,399.13,321.14,251.03,217.76,232.55,260.08,362.28,374.26,280.11,237.41,224.64,205.59,248.02,287.38,324.3,263.19,223.95,206.5,215.86,276.65,324.03,280.34,257.64,231.41,207.11,220.46,246.92,302.97,295.36,274.79,235.13,203.35,230.23,239.01,298.29,314.9,274.37,222.32
county,Atascosa County,driving,,Texas,United States,100,107.46,101.7,107.83,131.93,111.05,93.95,108.43,104.19,96.93,107.26,130.65,104.52,90.68,97.01,102.83,104.53,110.37,125.68,112.93,87.24,101.55,102.77,112.13,104.78,132.08,117.44,108.06,102.1,105.8,110.14,122.87,150.92,123.73,111.12,119.41,114.04,105.98,111.59,141.91,124.61,98.54,107.08,118.63,111.4,110.02,147.08,127.18,110.74,118.72,118.55,114.92,122.28,161.84,134.27,120.06,136.54,134.79,141.76,143.44,159.65,130.62,123.55,109.94,107.39,101.99,99.13,100.75,71.53,62.04,75,76.91,70.95,70.91,79,62.39,52.52,66.57,72.96,68.52,66.22,65.49,45.75,44.61,64.19,67.39,67.56,72.28,68.7,54.86,44.67,67.24,70.36,71.8,70.94,84.66,73.62,67.7,71.05,77.14,75.84,83.61,93.33,81.18,74.79,77.67,78.43,81.88,88.58,114.59,96.96,91.09,89.96,89.95,87.93,97.24,116.73,101.23,97.17,,,97.92,108.78,126.45,107.75,126.03,111.35,111.74,112.18,125.64,173.09,136.85,125.16,166.13,109.93,112.04,122.89,147.56,135.64,126.82,109.89,114.19,117.84,127.34,153.86,149.97,141.92,132.15,123.68,125.16,141.13,168.61,144.9,150.21,135.23,119.95,122.91,137.7,167.38,145.79,138.76,129.57,112.72,120.61,132.39,151.17,129.58,128.1,117.97,117.72,119.16,137.82,134.69,89.78,122.81,135.51,114.76,111.32,128.11,141.81,126.91,122.48,116.76,114.53,124.55,135.46,144.97,122.53,125.54,125.45
county,Austin County,driving,,Texas,United States,100,100.89,100.58,116.5,149.84,148.37,129.07,119.59,100.78,90.38,109.46,152.78,145.49,120.5,96.97,90.32,98.52,114.09,146.48,147.65,110.47,102.22,96.27,92.5,104.82,154,152.31,142.44,101.11,101.38,126.23,132.61,175.13,171.78,159.17,129.01,114.07,107.48,118.87,171.28,172.6,144.15,109.11,126.39,112.32,134.22,172.99,183.23,145.92,111.06,111.56,115.45,161.23,188.05,187.78,158.61,145.82,143.28,153.54,153.79,180.49,205.69,136.36,105.77,101.9,97.43,97.38,104.53,94.17,69.12,81.01,76.49,73.36,72.99,89.37,77.32,78.55,65.47,70.33,78.82,68.67,72.44,56.9,57.09,65.82,66.98,71.53,68.42,80.66,72.23,63.99,80.18,76.84,83.29,80.94,97.36,83.35,65.97,79.87,80.76,87.99,92.6,108.08,114.54,110.65,85.37,78.8,85.41,97.16,120.6,114.11,98.62,96.39,95.39,105.42,103.38,132.28,139.72,107.27,,,111.6,119.39,141.06,114.85,142.27,116.73,118.03,125.98,139.41,199.18,184.59,136.71,166.48,137.14,130.63,135.66,188.69,164.63,150.47,125.36,128.57,153.11,137.17,198.15,195.8,162.48,138.87,136.13,177.79,154.55,213.76,203.63,192.81,143.3,152.49,140.19,155.13,207.99,202.12,217.78,143.53,123.69,132.92,147.55,171.88,174.04,150.87,138.83,125.69,143.96,180.74,187.35,138.38,174.93,138.52,136.49,129.83,167.35,171.94,165.68,156.18,134.65,141.9,140.24,152.93,189.8,169.16,206.9,129.83
county,Bandera County,driving,,Texas,United States,100,113.7,118.72,103.97,126.16,145.71,113.56,116.16,103.38,83.2,111.74,120.96,128.49,114.02,98.81,112.28,103.15,111.69,133.79,137.21,90.96,102.56,114.57,95.21,113.61,128.72,137.63,112.56,104.25,105.25,118.86,128.04,174.61,194.66,151.19,139.95,119.41,117.03,125.48,138.26,155.25,120.82,133.15,131.74,132.74,132.79,158.72,162.88,136.07,124.79,126.62,128.95,130.91,162.74,183.47,156.16,148.9,167.26,168.68,158.68,172.05,170.46,118.17,121.37,115.62,108.63,97.44,95.3,72.24,65.43,77.35,85.84,80.73,86.3,91.87,104.06,91.64,83.47,93.06,78.68,87.49,65.3,56.03,70.82,78.77,92.51,102.47,86.39,99.45,85.66,80.46,92.6,101.92,103.24,95.89,106.21,104.93,91.19,117.99,115.39,101.78,119.5,135.02,168.45,158.36,130.14,122.05,143.38,128.63,176.07,203.97,190.87,156.85,143.38,139,142.56,180.73,200.5,164.75,,,143.06,158.58,172.47,226.67,222.1,156.16,156.58,163.2,177.4,214.06,299.18,300,191.87,156.8,171.23,177.85,194.47,262.05,205.66,138.68,148.81,162.65,188.08,217.49,279.59,258.81,189.41,177.58,197.4,216.44,237.95,292.88,258.9,191.96,178.54,174.11,190.09,226.99,258.72,237.21,178.4,161.14,188.9,190.09,204.34,235.02,188.86,164.25,165.48,170.87,198.08,224.75,246.94,201.28,173.79,168.17,180,177.99,200.37,228.86,188.45,171.87,166.76,168.58,166.76,227.12,239.54,205.53,171.6
county,Bastrop County,driving,,Texas,United States,100,94.33,99.57,103.34,146.1,146.97,131.61,112.2,100.86,90.42,102.85,140.68,142.03,112.53,94.88,93.45,93.72,104.05,139.76,148.92,105.69,99.47,96.64,93.67,106.11,136.96,150.24,113.82,98.89,96.62,95.55,112.04,161.75,158.6,132.73,117.4,105.44,102.02,111.64,156.3,154.9,126.75,108.04,108.15,102.51,123.38,159.65,182.46,142.22,106.64,107.6,99.75,117.27,174.01,181.6,157.56,123.6,125.62,131.53,136.96,159.44,143.91,113.03,103.78,93.25,91.84,88.02,85.3,73.5,62.54,72.13,74.05,66.05,65.52,76.22,68.78,60.28,64.45,63.49,64.75,62.64,63.34,51.61,51.17,61.32,65.63,64.05,64.62,76.03,63.66,58.35,69.29,70.9,74.79,76.96,83.98,75.23,67.74,81.04,75.94,72.26,84.08,93.52,97.79,84.48,82.11,82.08,82.18,89.37,106.88,109.27,97.55,93.67,90.53,96.71,98.18,117.8,121.12,97.13,,,102.61,109.7,124.35,119.84,118.02,107.76,119.58,128.7,123.85,151.87,160.94,116.54,124.71,116.06,112.82,123.01,156.07,155.71,131.15,113.91,121.95,120.03,137.59,174.6,177.08,148.7,127.27,127.98,133.87,142.23,181.99,173.64,161.58,134.27,126.7,130.38,145.66,177.95,172.3,150.4,137.16,115.91,131.19,134.99,157.98,140.11,117.94,126.78,124.98,130.31,148.73,165.27,136.19,142.37,134.55,131.59,125.45,132.81,164.5,159.21,143.64,129.35,124.8,133.9,146.5,168.32,164.05,141.46,130.5
county,Bee County,driving,,Texas,United States,100,109.68,107.27,116.51,131.62,117.4,94.38,103.82,108.64,146.4,106.15,125.63,108.28,88.31,100.48,111.81,107.07,107.23,130.17,119.28,84.53,110.12,112.54,106.91,114.5,134.27,121.57,91.76,117.36,113.86,113.34,123.95,141.22,123.22,98.83,119.85,110.97,119.41,122.22,148.98,155.52,104.22,116.07,123.5,119.61,152.63,152.35,131.14,111.85,114.22,124.59,127.76,124.47,165.13,142.51,117.64,122.94,131.54,130.49,132.34,176.78,137.32,102.29,115.95,108.92,117.4,108.64,103.74,81.56,67.94,89.03,82.68,89.07,96.67,100.32,69.59,48.73,79.07,78.18,83.25,83.65,92.65,53.39,42.27,77.94,79.87,87.87,88.55,90.52,64.4,46.97,76.38,83.69,88.23,89.39,96.83,73.36,66.53,89.27,95.74,90.04,99.32,111.65,91.72,71.27,93.81,101.85,94.42,100.64,135.32,103.94,89.75,101.08,100.88,104.02,113.54,129.65,99.6,86.78,,,121.21,125.79,138.25,111.13,103.74,128.45,125.35,137.97,149.18,175.01,137.4,113.66,119.37,117.96,144.4,125.19,177.14,160.35,109.24,133.51,140.98,130.86,154.6,188.63,155.73,121.74,129.09,149.06,134.55,154.28,167.26,148.53,126.16,133.31,141.94,148.49,156.77,178.51,152.07,106.59,138.93,151.63,129.89,153.48,146.36,130.17,112.05,126.11,132.78,132.34,155.08,153.35,105.1,112.33,135.44,143.15,129.97,135.28,171.8,122.78,127,131.98,131.22,130.29,146.97,164.4,118.52,105.34,131.74
county,Bell County,driving,,Texas,United States,100,103.18,102.6,105.95,128.55,125.41,91.34,103.49,97.11,95.43,103.79,127.66,121.58,92.05,104.19,102.8,101.01,108.7,134.55,128.25,94.38,102.32,102.43,97.69,113.74,137.34,127.96,94.1,99.87,101.37,105.77,133.01,155.79,137.1,110.58,117.14,107.76,110.92,112.88,142.13,137.64,101.02,116.18,113.55,116.85,129.22,165.25,152.02,115.26,116.58,118.41,109.57,129.51,166.85,151.09,111.93,121.37,123.97,124.24,132.1,145.5,121.77,92,100.98,97.46,93.31,89.84,96.06,80.65,63.69,78.11,73.9,75.16,76.64,83.05,74.04,59.82,68.29,77.06,78.03,72.06,78.57,66.12,56.96,71.46,76.62,76.93,76.16,89.89,76.09,59.1,78.28,86.18,90.93,96.16,98.82,87.71,73.91,91.25,89.23,87.12,99.1,112.92,104.96,87.19,95.53,97.71,101.17,112.3,128.77,125.74,97.73,110.42,108.63,110.16,113.58,132.55,134.26,99.5,,,119.53,131.16,150.52,134.42,119.21,130.57,129,132.77,141.95,174.06,162.13,118.89,121.78,132.97,130.08,139.39,173.89,174.08,129.29,136.86,138.47,142.16,147.93,175.34,175.38,134.78,146.7,145.9,147.76,158.47,189.87,176.91,138.52,148.83,146.28,147.23,156.47,191.22,177.26,134.31,143.15,139.24,144.57,155.87,180.52,168.83,131.83,144.01,157.7,159.04,175.76,183.54,151.48,133.43,150.08,145.29,149.36,155.8,177.91,170.52,132.1,146.88,152.21,155.66,158.78,185.8,171.98,139.76,149.1
