Category: All categories

Week,Coronavirus: (Yuma AZ-El Centro CA)
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,10
2020-01-26,25
2020-02-02,11
2020-02-09,5
2020-02-16,5
2020-02-23,12
2020-03-01,21
2020-03-08,71
2020-03-15,100
2020-03-22,96
2020-03-29,72
2020-04-05,84
2020-04-12,62
2020-04-19,47
2020-04-26,33
2020-05-03,26
2020-05-10,23
2020-05-17,24
2020-05-24,24
2020-05-31,16
2020-06-07,23
2020-06-14,17
2020-06-21,15
2020-06-28,18
2020-07-05,16
2020-07-12,11
2020-07-19,14
