Category: All categories

Week,Coronavirus: (Bakersfield CA)
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,6
2020-01-26,17
2020-02-02,8
2020-02-09,5
2020-02-16,4
2020-02-23,14
2020-03-01,24
2020-03-08,61
2020-03-15,100
2020-03-22,79
2020-03-29,73
2020-04-05,70
2020-04-12,56
2020-04-19,42
2020-04-26,22
2020-05-03,19
2020-05-10,18
2020-05-17,14
2020-05-24,13
2020-05-31,9
2020-06-07,9
2020-06-14,9
2020-06-21,12
2020-06-28,13
2020-07-05,12
2020-07-12,12
2020-07-19,14
