Category: All categories

Week,Coronavirus: (San Diego CA)
2019-07-28,0
2019-08-04,0
2019-08-11,<1
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,<1
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,<1
2019-12-08,0
2019-12-15,0
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,5
2020-01-26,19
2020-02-02,9
2020-02-09,9
2020-02-16,5
2020-02-23,17
2020-03-01,29
2020-03-08,69
2020-03-15,100
2020-03-22,72
2020-03-29,60
2020-04-05,61
2020-04-12,48
2020-04-19,38
2020-04-26,23
2020-05-03,19
2020-05-10,17
2020-05-17,14
2020-05-24,12
2020-05-31,9
2020-06-07,10
2020-06-14,10
2020-06-21,12
2020-06-28,16
2020-07-05,15
2020-07-12,14
2020-07-19,11
