Category: All categories

Week,Coronavirus: (San Francisco-Oakland-San Jose CA)
2019-07-28,<1
2019-08-04,<1
2019-08-11,<1
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,<1
2019-10-13,<1
2019-10-20,0
2019-10-27,<1
2019-11-03,0
2019-11-10,<1
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,7
2020-01-26,23
2020-02-02,16
2020-02-09,10
2020-02-16,8
2020-02-23,28
2020-03-01,50
2020-03-08,84
2020-03-15,100
2020-03-22,78
2020-03-29,65
2020-04-05,66
2020-04-12,54
2020-04-19,42
2020-04-26,26
2020-05-03,21
2020-05-10,20
2020-05-17,17
2020-05-24,16
2020-05-31,11
2020-06-07,12
2020-06-14,12
2020-06-21,15
2020-06-28,16
2020-07-05,16
2020-07-12,15
2020-07-19,12
