Category: All categories

Week,Coronavirus: (Alaska)
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,<1
2019-09-22,<1
2019-09-29,0
2019-10-06,<1
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,<1
2019-12-01,0
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,0
2020-01-05,0
2020-01-12,<1
2020-01-19,5
2020-01-26,17
2020-02-02,10
2020-02-09,7
2020-02-16,7
2020-02-23,19
2020-03-01,35
2020-03-08,72
2020-03-15,100
2020-03-22,77
2020-03-29,58
2020-04-05,54
2020-04-12,40
2020-04-19,30
2020-04-26,17
2020-05-03,16
2020-05-10,13
2020-05-17,11
2020-05-24,11
2020-05-31,10
2020-06-07,7
2020-06-14,8
2020-06-21,8
2020-06-28,9
2020-07-05,8
2020-07-12,9
2020-07-19,9
2020-07-26,10
