Category: All categories

Week,Coronavirus: (Hawaii)
2019-08-04,<1
2019-08-11,<1
2019-08-18,<1
2019-08-25,<1
2019-09-01,<1
2019-09-08,0
2019-09-15,<1
2019-09-22,<1
2019-09-29,<1
2019-10-06,<1
2019-10-13,<1
2019-10-20,0
2019-10-27,0
2019-11-03,<1
2019-11-10,0
2019-11-17,<1
2019-11-24,0
2019-12-01,0
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,0
2020-01-05,<1
2020-01-12,<1
2020-01-19,6
2020-01-26,20
2020-02-02,14
2020-02-09,15
2020-02-16,14
2020-02-23,26
2020-03-01,36
2020-03-08,69
2020-03-15,100
2020-03-22,77
2020-03-29,59
2020-04-05,59
2020-04-12,46
2020-04-19,36
2020-04-26,20
2020-05-03,18
2020-05-10,17
2020-05-17,14
2020-05-24,12
2020-05-31,9
2020-06-07,10
2020-06-14,11
2020-06-21,12
2020-06-28,12
2020-07-05,14
2020-07-12,14
2020-07-19,11
2020-07-26,8
