Category: All categories

Week,Coronavirus: (South Dakota)
2019-08-04,0
2019-08-11,<1
2019-08-18,0
2019-08-25,<1
2019-09-01,0
2019-09-08,<1
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,<1
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,<1
2019-12-15,<1
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,<1
2020-01-19,4
2020-01-26,12
2020-02-02,8
2020-02-09,6
2020-02-16,5
2020-02-23,15
2020-03-01,23
2020-03-08,83
2020-03-15,100
2020-03-22,82
2020-03-29,71
2020-04-05,69
2020-04-12,57
2020-04-19,41
2020-04-26,23
2020-05-03,22
2020-05-10,20
2020-05-17,17
2020-05-24,14
2020-05-31,11
2020-06-07,11
2020-06-14,10
2020-06-21,12
2020-06-28,12
2020-07-05,12
2020-07-12,12
2020-07-19,11
2020-07-26,8
