Category: All categories

Week,Coronavirus: (Utah)
2019-08-04,<1
2019-08-11,<1
2019-08-18,<1
2019-08-25,<1
2019-09-01,<1
2019-09-08,<1
2019-09-15,<1
2019-09-22,<1
2019-09-29,<1
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,<1
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,<1
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,4
2020-01-26,14
2020-02-02,9
2020-02-09,8
2020-02-16,6
2020-02-23,20
2020-03-01,34
2020-03-08,87
2020-03-15,100
2020-03-22,81
2020-03-29,68
2020-04-05,62
2020-04-12,48
2020-04-19,36
2020-04-26,23
2020-05-03,19
2020-05-10,18
2020-05-17,14
2020-05-24,13
2020-05-31,11
2020-06-07,12
2020-06-14,12
2020-06-21,16
2020-06-28,14
2020-07-05,15
2020-07-12,14
2020-07-19,11
2020-07-26,10
