Category: All categories

Week,Coronavirus: (Vermont)
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,<1
2019-09-29,0
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,<1
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,<1
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,0
2019-12-29,<1
2020-01-05,0
2020-01-12,0
2020-01-19,3
2020-01-26,12
2020-02-02,6
2020-02-09,5
2020-02-16,4
2020-02-23,15
2020-03-01,32
2020-03-08,80
2020-03-15,100
2020-03-22,74
2020-03-29,54
2020-04-05,52
2020-04-12,39
2020-04-19,32
2020-04-26,19
2020-05-03,17
2020-05-10,17
2020-05-17,13
2020-05-24,13
2020-05-31,10
2020-06-07,9
2020-06-14,9
2020-06-21,11
2020-06-28,11
2020-07-05,13
2020-07-12,12
2020-07-19,9
2020-07-26,9
