Category: All categories

Week,Coronavirus: (Wyoming)
2019-08-04,0
2019-08-11,<1
2019-08-18,<1
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,<1
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,<1
2019-11-24,<1
2019-12-01,0
2019-12-08,<1
2019-12-15,<1
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,<1
2020-01-19,4
2020-01-26,12
2020-02-02,6
2020-02-09,6
2020-02-16,5
2020-02-23,13
2020-03-01,24
2020-03-08,76
2020-03-15,100
2020-03-22,85
2020-03-29,71
2020-04-05,59
2020-04-12,44
2020-04-19,37
2020-04-26,22
2020-05-03,19
2020-05-10,16
2020-05-17,14
2020-05-24,12
2020-05-31,9
2020-06-07,10
2020-06-14,8
2020-06-21,10
2020-06-28,11
2020-07-05,12
2020-07-12,10
2020-07-19,10
2020-07-26,7
